あたし,351
あなた,246
何,135
君,124
いま,102
今,100
つて,93
わたし,87
何処,86
此,84
全て,70
此処,64
空,63
貴方,62
誰,62
夢,61
言葉,56
今日,55
手,54
眼,52
嘘,51
泣い,47
世界,46
人生,46
これ,43
風,42
其,41
云う,39
命,39
愛し,38
知っ,37
本当,37
雲,37
待っ,36
僕,36
ひと,36
明日,34
なる,34
それ,33
瞬間,33
隠し,33
なっ,33
処,33
呼吸,32
前,32
人,31
ふ,31
實,31
キス,30
行か,30
がる,29
色,29
夏,29
指,29
行っ,29
行く,28
こっち,28
罠,28
愛す,28
まん中,28
雨,26
全部,26
ある,26
笑う,25
ツ,25
泣き,25
ち,25
どれ,24
花,24
目,24
壱,24
女,23
時,23
気,23
東京,23
海,23
生命,23
耳,23
私,22
姿勢,22
闇,22
咲い,22
理,22
彼,22
お願い,22
刹那,21
あっ,21
予定,21
夜,21
呼ぶ,21
お互い,21
立っ,21
要ら,21
止ん,21
りか,21
ダーリン,21
天,21
傍,21
ヤ,21
いく,21
間,20
なら,20
死ん,20
身,20
.,20
運命,20
なり,20
男,20
真実,19
未来,19
独り,19
髪,19
涙,19
あり,18
朝,18
知ら,18
期待,18
関係,18
望ん,18
僕ら,18
立つ,18
心,17
ひとり,17
愛,17
頭,17
笑っ,17
許し,17
口,16
意味,16
最後,16
ひとつ,16
歌う,16
只,16
店,16
素顔,16
氣,16
光,16
望み,16
蝉,16
いのち,16
しまっ,16
成,16
努力,16
惑,16
草,16
黙っ,15
勿,15
下さい,15
判ら,15
気持ち,15
引い,15
尽くし,15
云わ,15
恐れ,15
飲み,14
憎む,14
條,14
侭,14
やっ,14
悔やん,14
出せ,14
そのもの,14
いつか,14
押し,14
流れ,14
むな,14
泳い,14
誘う,14
ボロボロ,14
視線,14
至上,14
取り,14
説明,14
顔,14
哭,14
泣か,14
識,14
呼ん,14
幾ら,14
哲学,14
誰か,14
落とし,14
片方,14
付い,14
写真,14
手錠,14
現実,14
ちゃえ,14
絶対,14
往く,14
一緒,14
昨日,14
瞑っ,14
ゃおうそしてぎゅっとしていてね,14
都会,14
あいし,14
±,14
ゃあないわ,14
旬,14
メロディー,14
仙人,14
吹い,14
クレマチス,14
思う,14
調達,14
現地,14
キ,14
奴,14
言い,14
かじかん,14
解き放て,14
呼ばわり,14
持つ,14
鼓動,14
雌,14
易々,14
待ち,14
子供,13
ゆく,13
しまう,13
置い,13
自分,13
切っ,13
つた,12
部屋,12
声,12
恐怖,12
理由,12
輝き,12
音,12
馨,11
すべて,11
やる,11
大人,11
云え,11
知る,11
後ろ,11
彼方,11
ちゃう,11
ちゃっ,11
通り,11
云,11
行け,11
思わ,11
瞳,11
盗ん,11
頂戴,11
其処,11
守る,11
